Date,Total_Value,Cash_Accumulated
2017-04-19,28476.63553237915,27000
2017-04-20,28707.63553237915,27000
2017-04-21,28624.4748878479,27000
2017-04-24,28928.07529067993,27000
2017-04-25,29100.994968414307,27000
2017-04-26,29079.876499176025,27000
2017-04-27,29102.316257476807,27000
2017-04-28,30046.876499176025,28000
2017-05-01,30119.486331939697,28000
2017-05-02,30129.075244903564,28000
2017-05-03,30098.935077667236,28000
2017-05-04,30126.334659576416,28000
2017-05-05,30246.89532852173,28000
2017-05-08,30248.266666412354,28000
2017-05-09,30209.90474319458,28000
2017-05-10,30266.075244903564,28000
2017-05-11,30204.425662994385,28000
2017-05-12,30157.84616470337,28000
2017-05-15,30309.916248321533,28000
2017-05-16,30304.435077667236,28000
2017-05-17,29768.766666412354,28000
2017-05-18,29876.99574661255,28000
2017-05-19,30061.94658279419,28000
2017-05-22,30229.084659576416,28000
2017-05-23,30287.99574661255,28000
2017-05-24,30360.60557937622,28000
2017-05-25,30501.715412139893,28000
2017-05-26,30503.084659576416,28000
2017-05-30,30474.315830230713,28000
2017-05-31,31467.465412139893,29000
2017-06-01,31711.3948097229,29000
2017-06-02,31810.096530914307,29000
2017-06-05,31788.945240020752,29000
2017-06-06,31698.705326080322,29000
2017-06-07,31750.87463760376,29000
2017-06-08,31762.15489578247,29000
2017-06-09,31725.495670318604,29000
2017-06-12,31712.806186676025,29000
2017-06-13,31866.495670318604,29000
2017-06-14,31832.65489578247,29000
2017-06-15,31769.205326080322,29000
2017-06-16,31777.66498184204,29000
2017-06-19,32035.695240020752,29000
2017-06-20,31827.015842437744,29000
2017-06-21,31814.326358795166,29000
2017-06-22,31795.995670318604,29000
2017-06-23,31707.16498184204,29000
2017-06-26,31717.036014556885,29000
2017-06-27,31466.056186676025,29000
2017-06-28,31742.41498184204,29000
2017-06-29,31470.286014556885,29000
2017-06-30,32522.455326080322,30000
2017-07-03,32593.996128082275,30000
2017-07-05,32650.936038970947,30000
2017-07-06,32358.936038970947,30000
2017-07-07,32563.335147857666,30000
2017-07-10,32596.916751861572,30000
2017-07-11,32572.094791412354,30000
2017-07-12,32815.91675186157,30000
2017-07-13,32871.395236968994,30000
2017-07-14,33020.31586074829,30000
2017-07-17,33024.695682525635,30000
2017-07-18,33049.51541519165,30000
2017-07-19,33223.25577163696,30000
2017-07-20,33233.4746131897,30000
2017-07-21,33210.11630630493,30000
2017-07-24,33198.43603897095,30000
2017-07-25,33277.27505874634,30000
2017-07-26,33287.496128082275,30000
2017-07-27,33248.07550430298,30000
2017-07-28,33210.11630630493,30000
2017-07-31,34191.13559341431,31000
2017-08-01,34267.6347694397,31000
2017-08-02,34287.13550186157,31000
2017-08-03,34227.136417388916,31000
2017-08-04,34284.13486099243,31000
2017-08-07,34339.636417388916,31000
2017-08-08,34272.13458633423,31000
2017-08-09,34252.63614273071,31000
2017-08-10,33784.63458633423,31000
2017-08-11,33829.6350440979,31000
2017-08-14,34159.63458633423,31000
2017-08-15,34162.63522720337,31000
2017-08-16,34216.6353187561,31000
2017-08-17,33687.13550186157,31000
2017-08-18,33625.634952545166,31000
2017-08-21,33666.13559341431,31000
2017-08-22,34005.1347694397,31000
2017-08-23,33889.636417388916,31000
2017-08-24,33811.635776519775,31000
2017-08-25,33885.136600494385,31000
2017-08-28,33897.13458633423,31000
2017-08-29,33922.636600494385,31000
2017-08-30,34090.63586807251,31000
2017-08-31,35290.13614273071,32000
2017-09-01,35350.58604812622,32000
2017-09-05,35090.18481826782,32000
2017-09-06,35212.63614273071,32000
2017-09-07,35204.88566970825,32000
2017-09-08,35150.63472366333,32000
2017-09-11,35533.484912872314,32000
2017-09-12,35663.686710357666,32000
2017-09-13,35685.386615753174,32000
2017-09-14,35672.9863319397,32000
2017-09-15,35722.5851020813,32000
2017-09-18,35784.58652114868,32000
2017-09-19,35827.9863319397,32000
2017-09-20,35665.235858917236,32000
2017-09-21,35564.48680496216,32000
2017-09-22,35559.83462905884,32000
2017-09-25,35507.13519668579,32000
2017-09-26,35519.53548049927,32000
2017-09-27,35657.485385894775,32000
2017-09-28,35699.33604812622,32000
2017-09-29,36826.43481826782,33000
2017-10-02,36980.66501235962,33000
2017-10-03,37055.395206451416,33000
2017-10-04,37106.2763710022,33000
2017-10-05,37325.694721221924,33000
2017-10-06,37290.71452713013,33000
2017-10-09,37225.5263710022,33000
2017-10-10,37319.33578872681,33000
2017-10-11,37379.756565093994,33000
2017-10-12,37322.516468048096,33000
2017-10-13,37363.85559463501,33000
2017-10-16,37422.68481826782,33000
2017-10-17,37446.5362739563,33000
2017-10-18,37479.92491531372,33000
2017-10-19,37499.006565093994,33000
2017-10-20,37685.0362739563,33000
2017-10-23,37548.2961769104,33000
2017-10-24,37600.766468048096,33000
2017-10-25,37421.09569168091,33000
2017-10-26,37456.075885772705,33000
2017-10-27,37774.075885772705,33000
2017-10-30,37637.33578872681,33000
2017-10-31,38680.266468048096,34000
2017-11-01,38747.09457778931,34000
2017-11-02,38763.39557266235,34000
2017-11-03,38892.164478302,34000
2017-11-06,38950.84457778931,34000
2017-11-07,38934.54607009888,34000
2017-11-08,38991.59457778931,34000
2017-11-09,38851.414478302,34000
2017-11-10,38828.59457778931,34000
2017-11-13,38874.236865997314,34000
2017-11-14,38779.6965675354,34000
2017-11-15,38582.46547317505,34000
2017-11-16,38910.09457778931,34000
2017-11-17,38805.77467727661,34000
2017-11-20,38856.30676651001,34000
2017-11-21,39113.84457778931,34000
2017-11-22,39086.13487625122,34000
2017-11-24,39167.63487625122,34000
2017-11-27,39156.22616958618,34000
2017-11-28,39542.535373687744,34000
2017-11-29,39527.86597061157,34000
2017-11-30,40857.126667022705,35000
2017-12-01,40781.974628448486,35000
2017-12-04,40738.555545806885,35000
2017-12-05,40594.935443878174,35000
2017-12-06,40593.26636123657,35000
2017-12-07,40726.86687088013,35000
2017-12-08,40947.305545806885,35000
2017-12-11,41079.234424591064,35000
2017-12-12,41149.376667022705,35000
2017-12-13,41139.354526519775,35000
2017-12-14,40977.36687088013,35000
2017-12-15,41319.71483230591,35000
2017-12-18,41575.224628448486,35000
2017-12-19,41424.925647735596,35000
2017-12-20,41393.19524002075,35000
2017-12-21,41476.69524002075,35000
2017-12-22,41468.3447303772,35000
2017-12-26,41222.854526519775,35000
